filename,device_id,x,y,SS_min (V/dec),VTH (V),Hysteresis (V),Gm_max @1V (µA/µm per V)
IDVG [PL_beforeAnneal _ -2 -2 84 0  (84) ; 3_20_2025 5_28_51 PM].csv,84,-2.0,-2.0,0.21810346522604054,1.0182526661197675,0.287080974406543,4.102000000000004
IDVG [PL_beforeAnneal _ -3 -2 85 0  (85) ; 3_20_2025 5_29_44 PM].csv,85,-3.0,-2.0,0.18376976415689278,0.7497045790251085,0.32185039139685956,12.719999999999985
IDVG [PL_beforeAnneal _ -4 -2 86 0  (86) ; 3_20_2025 5_30_33 PM].csv,86,-4.0,-2.0,0.26887074550062423,1.5707181442643783,0.28334440226853896,2.0979999999999954
IDVG [PL_beforeAnneal _ -5 -2 87 0  (87) ; 3_20_2025 5_30_47 PM].csv,87,-5.0,-2.0,146.87038263603338,,,
IDVG [PL_beforeAnneal _ -5 -3 88 0  (88) ; 3_20_2025 5_31_04 PM].csv,88,-5.0,-3.0,173.24073955823468,,,
IDVG [PL_beforeAnneal _ -4 -3 89 0  (89) ; 3_20_2025 5_31_19 PM].csv,89,-4.0,-3.0,174.42081446175243,-301.2999999999311,,
IDVG [PL_beforeAnneal _ -3 -3 90 0  (90) ; 3_20_2025 5_31_24 PM].csv,90,-3.0,-3.0,,,,
IDVG [PL_beforeAnneal _ -2 -3 91 0  (91) ; 3_20_2025 5_32_12 PM].csv,91,-2.0,-3.0,0.2390149284252964,0.8181165203511589,0.25583012996522053,3.024000000000001
IDVG [PL_beforeAnneal _ -1 -3 92 0  (92) ; 3_20_2025 5_33_11 PM].csv,92,-1.0,-3.0,,1.1416666666666664,,1.1199999999999988e-05
IDVG [PL_beforeAnneal _ 0 -3 93 0  (93) ; 3_20_2025 5_34_03 PM].csv,93,0.0,-3.0,0.24942127516818946,1.1885307346326828,0.2909675666275379,2.59
IDVG [PL_beforeAnneal _ 1 -3 94 0  (94) ; 3_20_2025 5_34_54 PM].csv,94,1.0,-3.0,0.18928815924173456,0.6986174035307005,0.08140767825436507,6.713999999999999
IDVG [PL_beforeAnneal _ 2 -3 95 0  (95) ; 3_20_2025 5_35_00 PM].csv,95,2.0,-3.0,,,,
IDVG [PL_beforeAnneal _ 3 -3 96 0  (96) ; 3_20_2025 5_35_49 PM].csv,96,3.0,-3.0,,0.5250000000000001,,8.599999999999992e-06
IDVG [PL_beforeAnneal _ 4 -3 97 0  (97) ; 3_20_2025 5_36_27 PM].csv,97,4.0,-3.0,0.3060584998074673,1.4237706711682134,2.2086821229680798,0.9536000000000016
IDVG [PL_beforeAnneal _ 5 -3 98 0  (98) ; 3_20_2025 5_36_31 PM].csv,98,5.0,-3.0,,,,
IDVG [PL_beforeAnneal _ 5 -3 98 0  (99) ; 3_20_2025 5_36_34 PM].csv,98,5.0,-3.0,,,,
